valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
0,0.17,1.63,0.0,0.0,0.0,0.0,1.63,0.72,0.21,0.82,1.63,3.03,311
1,0.81,95.25,0.25,0.5,0.25,0.5,18.14,2.0,0.11,0.41,1.3,43.0,8
1,0.8,144.2,0.4,0.6,0.4,0.6,11.72,0.89,0.04,0.33,144.2,97.3,10
0,0.06,3.11,0.0,0.0,0.0,0.0,3.11,0.83,0.22,0.6,3.11,4.31,36
1,1.72,56.23,0.69,1.52,0.69,1.52,42.05,4.64,0.16,0.34,42.42,28.73,86
1,0.47,3.57,0.0,0.0,0.0,0.0,3.57,3.81,0.91,0.49,3.57,13.21,42
0,0.21,1.12,0.0,0.0,0.0,0.0,1.12,0.41,0.25,0.97,1.12,3.0,60
1,0.86,125.73,0.18,0.36,0.18,0.36,21.95,2.08,0.11,0.41,1.98,65.36,11
0,0.08,13.7,0.0,0.0,0.0,0.0,12.45,0.27,0.35,0.8,0.46,27.0,10
1,1.01,14.83,0.01,0.01,0.01,0.01,15.61,0.33,0.22,0.52,14.83,15.16,200
1,0.17,6.06,0.0,0.0,0.0,0.0,6.2,0.37,0.44,0.52,0.37,9.77,47
0,0.11,2.4,0.0,0.0,0.0,0.0,2.4,0.42,0.22,0.69,2.4,3.99,75
1,0.44,37.58,0.08,0.08,0.08,0.08,26.53,1.0,0.19,0.56,2.49,11.08,12
0,0.11,3.52,0.0,0.0,0.0,0.0,3.52,0.51,0.24,0.73,3.52,3.87,31
1,0.26,8.08,0.03,0.03,0.03,0.03,18.06,1.7,0.45,0.54,1.88,7.53,38
0,0.04,2.17,0.0,0.0,0.0,0.0,2.17,0.38,0.21,0.73,2.0,3.88,24
1,0.8,33.63,0.78,0.82,0.78,0.82,30.36,0.23,0.31,0.38,1.25,21.09,65
1,0.4,44.2,0.6,0.6,0.6,0.6,10.52,0.44,0.12,0.65,8.84,8.2,5
0,0.06,1.72,0.0,0.0,0.0,0.0,1.72,0.52,0.23,0.94,1.72,4.0,18
1,0.12,11.0,0.0,0.0,0.0,0.0,11.0,0.61,0.2,0.82,11.0,7.0,6
0,0.11,2.43,0.0,0.0,0.0,0.0,2.43,0.41,0.24,0.8,2.43,3.96,23
1,0.41,13.67,0.0,0.0,0.0,0.0,13.67,0.2,0.26,0.61,1.28,9.21,39
0,0.24,2.01,0.0,0.0,0.0,0.0,1.99,0.59,0.33,0.39,0.67,3.01,153
