page_with_posts,word_count,date_count,post_term_count,lexical_diversity,article_count,div_count,by_count,element_count,post_term_count_url,top_class_count,top_3_class_count,top_class_prop_total,top_class_prop_unique_words,mean_descendant_count
1,512,3,44,0.52,8,2,1,105,0,6,2.67,0.06,0.79,14.704761904761904
1,6370,7,234,0.37,10,295,52,2350,0,22,21.33,0.01,0.34,24.347234042553193
1,2370,33,434,0.37,62,211,10,1847,1,47,45,0.03,0.98,27.741743367623172
1,744,55,548,0.41,5,502,0,1019,0,52,52,0.67,0.3,41.73895976447498
1,3947,5,1347,0.39,112,834,6,2838,3,103,100.67,0.3,0.68,27.715997181113462
1,1441,13,266,0.43,31,814,1,1948,1,140,109.67,0.0,0,41.5888090349076
1,565,25,463,0.58,25,265,0,659,1,25,25,0.77,0.67,31.411229135053112
1,836,19,218,0.45,24,362,1,1058,1,28,22.67,0.88,0.3,36.99527410207939
1,1028,1,169,0.5,12,125,7,616,0,31,23.67,0.11,0.64,30.170454545454547
1,554,8,124,0.62,5,90,0,547,0,18,12,0.06,0.89,16.53564899451554
1,1305,11,108,0.4,21,131,0,506,0,13,10.33,0.02,0.12,20.865612648221344
1,1497,1,164,0.42,26,212,5,704,1,52,37.33,0.0,0,32.65056818181818
1,886,10,269,0.49,15,32,3,395,0,15,14.33,0.12,0.35,9.435443037974684
1,936,1,64,0.48,6,177,8,635,1,35,18.33,0.07,0.85,26.059842519685038
1,853,12,592,0.57,41,222,1,900,0,36,36,0.77,0.61,22.635555555555555
1,380,12,438,0.59,8,301,1,918,0,41,32,0.98,0.41,23.1318082788671
1,3221,146,1022,0.3,15,153,4,1317,0,34,21.67,0.0,0,23.326499620349278
1,905,9,91,0.54,10,16,10,389,0,20,16.33,0.13,0.71,16.249357326478147
1,3506,7,3553,0.48,141,486,0,3557,0,141,141,0.88,0.55,29.214225470902445
1,3506,7,3553,0.48,141,486,0,3557,0,141,141,0.88,0.55,29.214225470902445
1,2697,5,610,0.44,71,536,27,2322,0,92,62.67,0.0,0,27.233850129198967
1,1349,19,231,0.44,37,341,0,1323,0,41,28.33,0.13,0.1,35.36734693877551
1,1365,36,742,0.49,41,88,41,695,0,41,37,0.25,0.75,20.65323741007194
1,832,7,290,0.44,7,142,2,766,0,10,9,0.0,0,19.234986945169712
1,946,6,259,0.4,7,134,0,735,0,10,9,0.0,0,19.127891156462585
1,832,7,290,0.44,7,142,2,766,0,10,9,0.0,0,19.234986945169712
1,3777,36,622,0.41,23,157,30,1173,0,26,18.67,0.01,0.6,23.74850809889173
1,585,3,437,0.51,21,56,26,426,0,21,21,0.48,0.33,24.009389671361504
1,6854,69,1263,0.22,44,535,32,1697,0,42,42,0.06,0.03,26.97642899233942
1,1984,3,767,0.54,103,389,8,1802,0,100,88,0.68,0.75,26.31132075471698
1,957,5,137,0.46,17,210,3,682,0,40,28,0.48,0.5,31.618768328445746
1,942,1,1240,0.66,52,632,7,1383,0,93,64.33,0.89,0.62,14.637744034707158
1,2785,51,509,0.47,101,420,11,1140,0,89,81.67,0.89,0.47,23.664912280701753
1,5727,54,3201,0.34,53,554,9,2471,0,98,81,0.6,0.59,26.501011736139215
1,1028,3,119,0.43,13,254,2,1047,0,68,53,0.13,0.03,29.476599808978033
1,1552,21,1148,0.44,10,140,13,1168,0,20,14.33,0.2,0.27,15.051369863013699
1,918,10,81,0.55,8,69,4,685,0,30,21.33,0.08,0.72,19.0014598540146
1,531,6,33,0.46,5,97,0,325,0,15,14.33,0.48,0.43,24.56923076923077
1,568,1,192,0.52,14,416,1,828,0,22,18,0.0,0,51.117149758454104
1,755,11,285,0.45,8,271,5,757,0,30,23,0.1,0.0,28.36988110964333
1,3232,6,1743,0.61,12,510,21,2759,0,45,26,0.0,0,20.51540413193186
1,2586,4,1020,0.4,116,277,38,1962,0,115,88,0.19,0.02,26.85830784913354
1,1608,48,450,0.43,26,671,1,1766,0,60,54,0.07,0.06,13.191392978482446
1,760,6,992,0.6,35,155,5,932,0,39,34.67,0.58,0.78,16.273605150214593
